Four Digit Industries,Year,Capital productivity (2007=100),Capital productivity (percent change),Capital (2007=100),Capital (percent change),Capital costs (Million $),Capital costs (percent change),Capital cost share,Capital cost share (percent change),Capital intensity (2007=100),Capital intensity (percent change),Contribution of capital intensity (2007=100),Contribution of capital intensity (percent change),Labor productivity (2007=100),Labor productivity (percent change),Hours worked (2007=100),Hours worked (percent change),Labor compensation (Million $),Labor compensation (percent change),Labor cost share,Labor cost share (percent change),Hours worked (millions),Hours worked (percent change),Multifactor productivity (2007=100),Multifactor productivity (percent change),Combined inputs (2007=100),Combined inputs (percent change),Combined inputs costs (Million $),Combined inputs costs (percent change),Implicit combined inputs deflator (2007=100),Implicit combined inputs deflator (percent change),Intermediate purchases productivity (2007=100),Intermediate purchases productivity (percent change),Intermediate purchases (2007=100),Intermediate purchases (percent change),Intermediate purchases costs (Million $),Intermediate purchases costs (percent change),Intermediate purchases cost share,Intermediate purchases cost share (percent change),Intermediate purchases to hours ratio (2007=100),Intermediate purchases to hours ratio (percent change),Contribution of intermediate purchases intensity (2007=100),Contribution of intermediate purchases intensity (percent change),Output (2007=100),Output (percent change),Implicit output deflator (2007=100),Implicit output deflator (percent change),Value of production (Million $),Value of production (percent change),Unit labor costs (2007=100),Unit labor costs (percent change),Labor compensation (2007=100),Labor compensation (percent change),Hourly compensation (2007=100),Hourly compensation (percent change),Output per employee (2007=100),Output per employee (percent change),Employment (2007=100),Employment (percent change),Employment (thousands),Employment (percent change)
1111 - Oilseed and grain farming,1987,,,,,,,,,,,,,,,129.562,,,,,,1282.334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.94,,656.2,
1111 - Oilseed and grain farming,1988,,,,,,,,,,,,,,,125.917,-2.8,,,,,1246.261,-2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.74,-1.9,643.9,-1.9
1111 - Oilseed and grain farming,1989,,,,,,,,,,,,,,,124.279,-1.3,,,,,1230.054,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.551,-2.8,626.2,-2.7
1111 - Oilseed and grain farming,1990,,,,,,,,,,,,,,,117.058,-5.8,,,,,1158.577,-5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.217,-3,607.7,-3
1111 - Oilseed and grain farming,1991,,,,,,,,,,,,,,,114.834,-1.9,,,,,1136.568,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.974,-2.1,595.2,-2.1
1111 - Oilseed and grain farming,1992,,,,,,,,,,,,,,,113.234,-1.4,,,,,1120.735,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.356,-2.4,580.6,-2.5
1111 - Oilseed and grain farming,1993,,,,,,,,,,,,,,,107.841,-4.8,,,,,1067.358,-4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.607,-0.7,576.4,-0.7
1111 - Oilseed and grain farming,1994,,,,,,,,,,,,,,,99.085,-8.1,,,,,980.689,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.646,-0.9,571.1,-0.9
1111 - Oilseed and grain farming,1995,,,,,,,,,,,,,,,105.188,6.2,,,,,1041.099,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.179,2.5,585.2,2.5
1111 - Oilseed and grain farming,1996,,,,,,,,,,,,,,,103.703,-1.4,,,,,1026.398,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.151,-1.9,573.9,-1.9
1111 - Oilseed and grain farming,1997,,,,,,,,,,,,,,,118.32,14.1,,,,,1171.072,14.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.996,16.3,667.6,16.3
1111 - Oilseed and grain farming,1998,,,,,,,,,,,,,,,104.19,-11.9,,,,,1031.216,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.582,-9.5,604.1,-9.5
1111 - Oilseed and grain farming,1999,,,,,,,,,,,,,,,98.623,-5.3,,,,,976.115,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.925,-3.4,583.8,-3.4
1111 - Oilseed and grain farming,2000,,,,,,,,,,,,,,,98.932,0.3,,,,,979.182,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.499,0.5,587,0.5
1111 - Oilseed and grain farming,2001,,,,,,,,,,,,,,,95.565,-3.4,,,,,945.849,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.875,-5.3,555.7,-5.3
1111 - Oilseed and grain farming,2002,,,,,,,,,,,,,,,97.676,2.2,,,,,966.746,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.341,2.5,569.4,2.5
1111 - Oilseed and grain farming,2003,,,,,,,,,,,,,,,94.764,-3,,,,,937.923,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.905,-4.3,544.7,-4.3
1111 - Oilseed and grain farming,2004,,,,,,,,,,,,,,,102.086,7.7,,,,,1010.392,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.742,0.9,549.4,0.9
1111 - Oilseed and grain farming,2005,,,,,,,,,,,,,,,94.069,-7.9,,,,,931.045,-7.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.875,-8,505.6,-8
1111 - Oilseed and grain farming,2006,,,,,,,,,,,,,,,85.434,-9.2,,,,,845.583,-9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.052,-13,439.8,-13
1111 - Oilseed and grain farming,2007,,,,,,,,,,,,,,,100,17,,,,,989.748,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,26.5,556.4,26.5
1111 - Oilseed and grain farming,2008,,,,,,,,,,,,,,,103.272,3.3,,,,,1022.132,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.124,3.1,573.8,3.1
1111 - Oilseed and grain farming,2009,,,,,,,,,,,,,,,105.612,2.3,,,,,1045.298,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.712,7.4,616,7.4
1111 - Oilseed and grain farming,2010,,,,,,,,,,,,,,,106.236,0.6,,,,,1051.471,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.823,0.1,616.6,0.1
1111 - Oilseed and grain farming,2011,,,,,,,,,,,,,,,112.186,5.6,,,,,1110.362,5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.954,6.4,656.3,6.4
1111 - Oilseed and grain farming,2012,,,,,,,,,,,,,,,115.358,2.8,,,,,1141.759,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.359,-4.7,625.1,-4.8
1111 - Oilseed and grain farming,2013,,,,,,,,,,,,,,,125.505,8.8,,,,,1242.184,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.155,18.5,740.8,18.5
1111 - Oilseed and grain farming,2014,,,,,,,,,,,,,,,111.546,-11.1,,,,,1104.025,-11.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.17,-15.8,624.1,-15.8
1111 - Oilseed and grain farming,2015,,,,,,,,,,,,,,,105.634,-5.3,,,,,1045.506,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.917,-3.8,600.4,-3.8
1111 - Oilseed and grain farming,2016,,,,,,,,,,,,,,,108.55,2.8,,,,,1074.371,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.026,3.8,623.3,3.8
1111 - Oilseed and grain farming,2017,,,,,,,,,,,,,,,108.341,-0.2,,,,,1072.3,-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.425,-2.3,608.8,-2.3
1111 - Oilseed and grain farming,2018,,,,,,,,,,,,,,,105.481,-2.6,,,,,1043.993,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.991,-3.1,589.7,-3.1
1111 - Oilseed and grain farming,2019,,,,,,,,,,,,,,,110.411,4.7,,,,,1092.792,4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.738,4.5,616.1,4.5
1112 - Vegetable and melon farming,1987,,,,,,,,,,,,,,,92.578,,,,,,223.075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.551,,133.8,
1112 - Vegetable and melon farming,1988,,,,,,,,,,,,,,,92.194,-0.4,,,,,222.149,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.102,-0.5,133.2,-0.4
1112 - Vegetable and melon farming,1989,,,,,,,,,,,,,,,92.417,0.2,,,,,222.687,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.279,-1.9,130.7,-1.9
1112 - Vegetable and melon farming,1990,,,,,,,,,,,,,,,88.837,-3.9,,,,,214.061,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.166,-2.2,127.8,-2.2
1112 - Vegetable and melon farming,1991,,,,,,,,,,,,,,,89.093,0.3,,,,,214.677,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.053,0.9,129,0.9
1112 - Vegetable and melon farming,1992,,,,,,,,,,,,,,,87.379,-1.9,,,,,210.547,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.831,-2.3,126,-2.3
1112 - Vegetable and melon farming,1993,,,,,,,,,,,,,,,84.977,-2.7,,,,,204.76,-2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.428,-0.4,125.5,-0.4
1112 - Vegetable and melon farming,1994,,,,,,,,,,,,,,,82.049,-3.4,,,,,197.703,-3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.486,-1,124.2,-1
1112 - Vegetable and melon farming,1995,,,,,,,,,,,,,,,87.605,6.8,,,,,211.091,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.553,3.4,128.4,3.4
1112 - Vegetable and melon farming,1996,,,,,,,,,,,,,,,86.663,-1.1,,,,,208.823,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.055,-2.6,125,-2.6
1112 - Vegetable and melon farming,1997,,,,,,,,,,,,,,,91.957,6.1,,,,,221.578,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.469,8.1,135,8
1112 - Vegetable and melon farming,1998,,,,,,,,,,,,,,,93.669,1.9,,,,,225.702,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.093,-0.4,134.5,-0.4
1112 - Vegetable and melon farming,1999,,,,,,,,,,,,,,,99.85,6.6,,,,,240.596,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.47,5.4,141.8,5.4
1112 - Vegetable and melon farming,2000,,,,,,,,,,,,,,,97.737,-2.1,,,,,235.505,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.313,-1.1,140.3,-1.1
1112 - Vegetable and melon farming,2001,,,,,,,,,,,,,,,93.38,-4.5,,,,,225.008,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.966,-1.3,138.4,-1.4
1112 - Vegetable and melon farming,2002,,,,,,,,,,,,,,,93.415,0,,,,,225.091,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.57,-0.4,137.9,-0.4
1112 - Vegetable and melon farming,2003,,,,,,,,,,,,,,,99.382,6.4,,,,,239.47,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4,-7.1,128.2,-7
1112 - Vegetable and melon farming,2004,,,,,,,,,,,,,,,107.05,7.7,,,,,257.945,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.205,13.6,145.5,13.5
1112 - Vegetable and melon farming,2005,,,,,,,,,,,,,,,104.683,-2.2,,,,,252.243,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.092,-5.7,137.2,-5.7
1112 - Vegetable and melon farming,2006,,,,,,,,,,,,,,,97.734,-6.6,,,,,235.497,-6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.961,-0.1,137.1,-0.1
1112 - Vegetable and melon farming,2007,,,,,,,,,,,,,,,100,2.3,,,,,240.958,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,-1,135.8,-0.9
1112 - Vegetable and melon farming,2008,,,,,,,,,,,,,,,102.498,2.5,,,,,246.979,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.569,5.6,143.3,5.5
1112 - Vegetable and melon farming,2009,,,,,,,,,,,,,,,104.067,1.5,,,,,250.758,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.583,-1.9,140.6,-1.9
1112 - Vegetable and melon farming,2010,,,,,,,,,,,,,,,108.573,4.3,,,,,261.617,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.996,4.3,146.6,4.3
1112 - Vegetable and melon farming,2011,,,,,,,,,,,,,,,110.717,2,,,,,266.783,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.521,7.9,158.2,7.9
1112 - Vegetable and melon farming,2012,,,,,,,,,,,,,,,104.373,-5.7,,,,,251.497,-5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.669,-12.7,138,-12.8
1112 - Vegetable and melon farming,2013,,,,,,,,,,,,,,,129.589,24.2,,,,,312.256,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.766,35.5,187,35.5
1112 - Vegetable and melon farming,2014,,,,,,,,,,,,,,,105.178,-18.8,,,,,253.436,-18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.184,-21.5,146.9,-21.4
1112 - Vegetable and melon farming,2015,,,,,,,,,,,,,,,112.168,6.6,,,,,270.278,6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.38,-1.7,144.4,-1.7
1112 - Vegetable and melon farming,2016,,,,,,,,,,,,,,,90.495,-19.3,,,,,218.055,-19.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.975,-20.1,115.4,-20.1
1112 - Vegetable and melon farming,2017,,,,,,,,,,,,,,,100.467,11,,,,,242.083,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.619,30.2,150.2,30.2
1112 - Vegetable and melon farming,2018,,,,,,,,,,,,,,,96.547,-3.9,,,,,232.638,-3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.191,-11.2,133.3,-11.3
1112 - Vegetable and melon farming,2019,,,,,,,,,,,,,,,98.58,2.1,,,,,237.536,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.853,1.7,135.6,1.7
1113 - Fruit and tree nut farming,1987,,,,,,,,,,,,,,,94.459,,,,,,449.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.581,,331.3,
1113 - Fruit and tree nut farming,1988,,,,,,,,,,,,,,,94.336,-0.1,,,,,449.219,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.161,-0.4,330,-0.4
1113 - Fruit and tree nut farming,1989,,,,,,,,,,,,,,,94.353,0,,,,,449.299,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.267,-1.8,324,-1.8
1113 - Fruit and tree nut farming,1990,,,,,,,,,,,,,,,90.761,-3.8,,,,,432.195,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.06,-2.2,317,-2.2
1113 - Fruit and tree nut farming,1991,,,,,,,,,,,,,,,93.472,3,,,,,445.106,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.096,1,320.3,1
1113 - Fruit and tree nut farming,1992,,,,,,,,,,,,,,,91.471,-2.1,,,,,435.576,-2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.752,-2.3,312.9,-2.3
1113 - Fruit and tree nut farming,1993,,,,,,,,,,,,,,,87.351,-4.5,,,,,415.955,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.848,-1.9,306.8,-1.9
1113 - Fruit and tree nut farming,1994,,,,,,,,,,,,,,,83.878,-4,,,,,399.421,-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.423,-2.5,299.2,-2.5
1113 - Fruit and tree nut farming,1995,,,,,,,,,,,,,,,87.991,4.9,,,,,419.004,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.104,1.8,304.5,1.8
1113 - Fruit and tree nut farming,1996,,,,,,,,,,,,,,,85.735,-2.6,,,,,408.264,-2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.187,-4.1,292.1,-4.1
1113 - Fruit and tree nut farming,1997,,,,,,,,,,,,,,,89.491,4.4,,,,,426.149,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.407,6.7,311.8,6.7
1113 - Fruit and tree nut farming,1998,,,,,,,,,,,,,,,91.348,2.1,,,,,434.992,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.435,0,311.9,0
1113 - Fruit and tree nut farming,1999,,,,,,,,,,,,,,,100.298,9.8,,,,,477.61,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.209,5.9,330.2,5.9
1113 - Fruit and tree nut farming,2000,,,,,,,,,,,,,,,98.941,-1.4,,,,,471.15,-1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.85,-0.3,329,-0.4
1113 - Fruit and tree nut farming,2001,,,,,,,,,,,,,,,94.511,-4.5,,,,,450.052,-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.984,-0.8,326.3,-0.8
1113 - Fruit and tree nut farming,2002,,,,,,,,,,,,,,,95.603,1.2,,,,,455.252,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.761,-0.2,325.6,-0.2
1113 - Fruit and tree nut farming,2003,,,,,,,,,,,,,,,93.773,-1.9,,,,,446.54,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.484,-1.2,321.5,-1.3
1113 - Fruit and tree nut farming,2004,,,,,,,,,,,,,,,99.513,6.1,,,,,473.873,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.904,0.4,322.9,0.4
1113 - Fruit and tree nut farming,2005,,,,,,,,,,,,,,,102.77,3.3,,,,,489.38,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.781,0.9,325.6,0.8
1113 - Fruit and tree nut farming,2006,,,,,,,,,,,,,,,99.418,-3.3,,,,,473.417,-3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.774,-5.8,306.6,-5.8
1113 - Fruit and tree nut farming,2007,,,,,,,,,,,,,,,100,0.6,,,,,476.191,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3.3,316.8,3.3
1113 - Fruit and tree nut farming,2008,,,,,,,,,,,,,,,103.974,4,,,,,495.115,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.786,6.8,338.3,6.8
1113 - Fruit and tree nut farming,2009,,,,,,,,,,,,,,,96.618,-7.1,,,,,460.087,-7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.684,-4.8,322.2,-4.8
1113 - Fruit and tree nut farming,2010,,,,,,,,,,,,,,,94.472,-2.2,,,,,449.868,-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.248,-3.4,311.3,-3.4
1113 - Fruit and tree nut farming,2011,,,,,,,,,,,,,,,92.211,-2.4,,,,,439.101,-2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.969,-0.3,310.4,-0.3
1113 - Fruit and tree nut farming,2012,,,,,,,,,,,,,,,101.074,9.6,,,,,481.306,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.745,3.9,322.4,3.9
1113 - Fruit and tree nut farming,2013,,,,,,,,,,,,,,,104.999,3.9,,,,,499.997,3.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.639,9.7,353.7,9.7
1113 - Fruit and tree nut farming,2014,,,,,,,,,,,,,,,96.475,-8.1,,,,,459.405,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.254,-13.8,305,-13.8
1113 - Fruit and tree nut farming,2015,,,,,,,,,,,,,,,101.731,5.4,,,,,484.433,5.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.569,6.6,325,6.6
1113 - Fruit and tree nut farming,2016,,,,,,,,,,,,,,,96.364,-5.3,,,,,458.878,-5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.286,-7.1,301.9,-7.1
1113 - Fruit and tree nut farming,2017,,,,,,,,,,,,,,,102.792,6.7,,,,,489.488,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.048,10.2,332.8,10.2
1113 - Fruit and tree nut farming,2018,,,,,,,,,,,,,,,96.233,-6.4,,,,,458.252,-6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.832,-5,316.3,-5
1113 - Fruit and tree nut farming,2019,,,,,,,,,,,,,,,97.322,1.1,,,,,463.438,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.297,1.5,320.9,1.5
"1114 - Greenhouse, nursery, and floriculture production",1987,,,,,,,,,,,,,,,95.554,,,,,,333.257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.672,,157.3,
"1114 - Greenhouse, nursery, and floriculture production",1988,,,,,,,,,,,,,,,96.875,1.4,,,,,337.865,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.772,1.3,159.3,1.3
"1114 - Greenhouse, nursery, and floriculture production",1989,,,,,,,,,,,,,,,98.872,2.1,,,,,344.83,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.54,-0.3,158.9,-0.3
"1114 - Greenhouse, nursery, and floriculture production",1990,,,,,,,,,,,,,,,96.609,-2.3,,,,,336.937,-2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.99,-0.6,157.9,-0.6
"1114 - Greenhouse, nursery, and floriculture production",1991,,,,,,,,,,,,,,,100.271,3.8,,,,,349.709,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.427,2.8,162.4,2.8
"1114 - Greenhouse, nursery, and floriculture production",1992,,,,,,,,,,,,,,,99.425,-0.8,,,,,346.756,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.634,-0.9,160.9,-0.9
"1114 - Greenhouse, nursery, and floriculture production",1993,,,,,,,,,,,,,,,97.543,-1.9,,,,,340.195,-1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.367,2,164.1,2
"1114 - Greenhouse, nursery, and floriculture production",1994,,,,,,,,,,,,,,,95.855,-1.7,,,,,334.305,-1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.527,1.3,166.2,1.3
"1114 - Greenhouse, nursery, and floriculture production",1995,,,,,,,,,,,,,,,102.876,7.3,,,,,358.792,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.57,5.6,175.5,5.6
"1114 - Greenhouse, nursery, and floriculture production",1996,,,,,,,,,,,,,,,101.916,-0.9,,,,,355.444,-0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.217,-0.4,174.8,-0.4
"1114 - Greenhouse, nursery, and floriculture production",1997,,,,,,,,,,,,,,,108.324,6.3,,,,,377.793,6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.492,10.8,193.7,10.8
"1114 - Greenhouse, nursery, and floriculture production",1998,,,,,,,,,,,,,,,112.114,3.5,,,,,391.013,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.437,0.9,195.4,0.9
"1114 - Greenhouse, nursery, and floriculture production",1999,,,,,,,,,,,,,,,124.257,10.8,,,,,433.363,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.797,6.9,209,7
"1114 - Greenhouse, nursery, and floriculture production",2000,,,,,,,,,,,,,,,126.148,1.5,,,,,439.956,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.957,1,211.1,1
"1114 - Greenhouse, nursery, and floriculture production",2001,,,,,,,,,,,,,,,120.689,-4.3,,,,,420.919,-4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.144,0.2,211.4,0.1
"1114 - Greenhouse, nursery, and floriculture production",2002,,,,,,,,,,,,,,,121.134,0.4,,,,,422.471,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.809,0.6,212.7,0.6
"1114 - Greenhouse, nursery, and floriculture production",2003,,,,,,,,,,,,,,,110.128,-9.1,,,,,384.085,-9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.337,-9.9,191.6,-9.9
"1114 - Greenhouse, nursery, and floriculture production",2004,,,,,,,,,,,,,,,110.415,0.3,,,,,385.086,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.275,-5.8,180.5,-5.8
"1114 - Greenhouse, nursery, and floriculture production",2005,,,,,,,,,,,,,,,97.515,-11.7,,,,,340.096,-11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.494,0.2,180.9,0.2
"1114 - Greenhouse, nursery, and floriculture production",2006,,,,,,,,,,,,,,,96.823,-0.7,,,,,337.681,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.77,-3.8,174,-3.8
"1114 - Greenhouse, nursery, and floriculture production",2007,,,,,,,,,,,,,,,100,3.3,,,,,348.762,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,5.5,183.6,5.5
"1114 - Greenhouse, nursery, and floriculture production",2008,,,,,,,,,,,,,,,100.907,0.9,,,,,351.924,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.994,6,194.6,6
"1114 - Greenhouse, nursery, and floriculture production",2009,,,,,,,,,,,,,,,89.966,-10.8,,,,,313.767,-10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.551,-8.9,177.3,-8.9
"1114 - Greenhouse, nursery, and floriculture production",2010,,,,,,,,,,,,,,,90.44,0.5,,,,,315.422,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.02,7.7,191,7.7
"1114 - Greenhouse, nursery, and floriculture production",2011,,,,,,,,,,,,,,,93.612,3.5,,,,,326.482,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.908,3.7,198.1,3.7
"1114 - Greenhouse, nursery, and floriculture production",2012,,,,,,,,,,,,,,,84.414,-9.8,,,,,294.406,-9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.515,-18,162.5,-18
"1114 - Greenhouse, nursery, and floriculture production",2013,,,,,,,,,,,,,,,89.036,5.5,,,,,310.526,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.001,10.7,180,10.8
