Production Account Quantity Index Value Added (2012=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Description,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous manufacturing,38.565,48.948,48.439,51.584,51.215,52.524,52.206,52.317,54.356,61.219,67.252,69.358,71.823,75.109,70.951,74.105,75.442,79.685,84.087,89.966,91.462,97.522,99.848,103.632,100.777,100.000,97.486,99.123,94.856,100.758,107.881,112.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Food and beverage and tobacco products,96.676,103.681,96.511,97.285,99.445,101.438,102.319,108.537,122.180,103.554,103.373,102.406,103.725,102.606,103.833,98.106,101.501,103.651,103.488,115.114,116.186,110.135,112.625,106.399,103.238,100.000,102.207,102.261,106.030,101.996,106.073,111.846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Textile mills and textile product mills,147.521,153.228,157.715,158.229,159.973,178.020,184.206,189.489,181.339,178.878,181.066,177.882,186.084,193.981,170.429,165.746,136.608,167.193,157.810,150.717,144.135,134.606,104.546,104.273,92.398,100.000,106.108,110.775,107.555,107.485,109.570,110.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apparel and leather and allied products,238.916,244.494,245.271,240.419,243.204,253.842,252.164,258.877,254.052,245.033,237.007,212.585,197.105,199.756,177.213,166.223,144.111,139.512,135.857,129.136,119.528,117.927,95.968,105.568,104.213,100.000,100.180,95.759,89.556,87.149,83.672,82.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paper products,130.163,133.775,129.913,130.688,135.994,140.043,149.774,151.185,129.014,140.339,145.334,135.097,142.299,133.867,116.193,119.743,117.505,125.346,122.199,129.943,121.970,108.889,114.237,105.243,101.195,100.000,100.681,101.289,102.042,99.689,91.444,92.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Printing and related support activities,92.721,100.266,102.816,103.362,98.599,102.632,95.664,96.930,98.723,95.040,93.598,93.502,94.599,98.281,98.374,103.205,104.014,106.234,107.976,110.358,113.329,111.916,96.451,97.887,100.427,100.000,101.788,100.796,97.776,98.735,96.551,98.760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petroleum and coal products,71.714,79.402,79.196,65.508,63.722,71.631,88.574,83.627,75.754,87.295,110.103,122.144,114.641,113.360,137.152,119.254,163.186,185.167,183.367,158.529,160.473,172.701,159.388,133.298,110.660,100.000,111.280,125.992,127.655,106.166,124.119,128.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemical products,71.351,68.776,70.052,75.455,76.023,80.399,82.773,89.766,84.939,86.829,90.374,86.877,92.993,95.311,94.291,100.516,100.893,109.133,104.853,117.018,122.783,111.216,107.843,114.203,106.605,100.000,103.165,102.750,98.770,103.192,101.555,103.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plastics and rubber products,63.159,64.363,69.268,68.968,71.223,76.048,81.726,87.157,84.509,91.111,96.987,98.241,107.449,114.381,106.314,105.267,109.097,117.965,116.828,108.860,110.405,95.789,94.624,100.205,98.145,100.000,99.636,99.241,108.252,109.238,108.380,111.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wholesale trade,38.431,40.519,43.592,43.354,45.681,49.379,51.227,54.135,54.081,60.918,68.055,74.739,77.215,81.160,82.696,83.576,88.190,91.956,96.104,98.784,102.108,102.002,89.749,95.044,96.794,100.000,102.292,106.200,110.762,109.320,111.296,113.089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
