year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed,eer,pct_high_growth_emp,tfp_log,tfp_diff3,tfp_ann_pct
1987,485,10700,11540,254014,249180,1747,15.19,1669,14.512,46640,15717,30923,6.307,18.717,36713,16323,20390,6.551,14.734,9927,3.984,29.467,1347,1350,12911,Transit and ground passenger transportation,All workers,0.0052969041515197,,100.927,12.588785046728972,6.30748856248495,7.594856976387128,4.614397483238222,,
1987,486,344,1948,74755,75927,109,5.556,137,6.983,7569,1634,5935,2.152,9.969,9829,2279,7550,3.002,12.945,-2260,-2.977,19.938,37,37,315,Pipeline transportation,All workers,0.0064698342304614,,68.284,10.755813953488373,2.152067117099319,1.051434686643034,4.223675478518507,,
1987,493,5687,9296,396848,395848,1057,11.428,963,10.412,71091,26086,45005,6.59,17.959,68435,29224,39211,7.383,17.288,2656,0.671,34.576,361,368,4362,Warehousing and storage,All workers,0.0039907099816176,,59.818,6.347810796553544,6.589903195165821,2.1194512760553157,4.091306619008649,,
1987,511,16389,19023,734938,734788,2421,12.396,3437,17.598,89950,29225,60725,3.977,12.242,89244,44734,44510,6.088,12.146,706,0.096,24.291,2469,2487,19660,"Publishing industries, except internet (includes software)",All workers,0.0253820008298085,,74.41,15.06498261028739,3.977337681072636,3.313476783075579,4.309590341409169,,
1987,512,11341,15971,231272,239393,2803,17.475,2942,18.341,52022,20645,31377,8.624,21.731,67537,20563,46974,8.59,28.212,-15515,-6.481,43.462,1757,1821,10589,Motion picture and sound recording industries,All workers,0.0106559753145441,,105.783,15.492460982276697,8.623894600092735,11.4289667577571,4.661389825984399,,
1987,523,21929,29660,564365,531242,5974,20.755,4222,14.668,143013,52123,90890,9.812,26.92,76581,31273,45308,5.887,14.415,66432,12.505,28.831,3196,3205,19625,"Securities, commodity contracts, and other financial investments and related activities",All workers,0.0216107644412929,,55.055,14.574307993980574,9.811535985483076,12.848776943999008,4.008332685565555,,
1987,524,107630,139512,2277478,2231102,18812,13.733,13761,10.046,408200,136192,272008,6.104,18.296,311985,88720,223265,3.977,13.983,96215,4.312,27.967,9118,9148,39131,Insurance carriers and related activities,All workers,0.049975064502566,,77.583,8.471615720524017,6.104248035275842,5.79777279956162,4.351348331024413,,
1987,525,868,1084,12684,12200,165,15.759,91,8.691,3006,951,2055,7.795,24.64,1981,1039,942,8.517,16.238,1025,8.402,32.477,69,69,676,"Funds, trusts, and other financial vehicles",All workers,0.0114349520111882,,135.43,7.949308755760369,7.795081967213115,11.565752128666036,4.90845490166728,,
1987,531,156008,163557,1060463,1040057,26961,16.564,25380,15.593,272535,122136,150399,11.743,26.204,231591,111261,120330,10.698,22.267,40944,3.937,44.534,20506,20591,82156,Real estate,All workers,0.1083131376411943,,91.833,13.144197733449566,11.743202536014854,16.36766204950102,4.5199717101542065,,
1987,561,168439,188646,3393136,3305875,38799,21.176,27946,15.253,950773,371432,579341,11.236,28.76,776043,267061,508982,8.078,23.475,174730,5.285,46.949,20881,21157,149812,Administrative and support services,All workers,0.0362200121448911,,90.737,12.39677271890714,11.235512534502968,15.2413578471361,4.507965212194895,,
1987,562,11626,12730,163674,157430,1996,15.92,1611,12.849,38469,13453,25016,8.545,24.436,25934,11038,14896,7.011,16.473,12535,7.962,32.947,1240,1240,7971,Waste management and remediation services,All workers,0.0060528687499826,,98.212,10.665749182865987,8.545385250587563,10.833119493627578,4.587128407487326,,
1987,621,349621,370904,2586664,2512970,35015,9.524,28470,7.744,562207,195489,366718,7.779,22.372,415397,150350,265047,5.983,16.53,146810,5.842,33.06,21497,21686,101963,Ambulatory health care services,All workers,0.0527725800202763,,111.731,6.148658118362455,7.779201502604488,11.389418958163876,4.716094196666871,,
1987,624,55366,70973,963492,942512,8603,12.307,6467,9.251,182922,55333,127589,5.871,19.408,141983,40354,101629,4.282,15.064,40939,4.344,30.129,4455,4510,24635,Social assistance,All workers,0.0058237781606256,,102.663,8.046454502763428,5.870800583971344,8.467636472331892,4.6314517793819805,,
1987,713,36737,40681,647584,632328,6499,16.362,4577,11.523,138859,58827,80032,9.303,21.96,108163,38193,69970,6.04,17.106,30696,4.854,34.211,3415,3440,27279,"Amusements, gambling, and recreation industries",All workers,0.0077485512682067,,112.067,9.295805318888316,9.303241355752077,12.024694865839798,4.71909690672197,,
1987,721,37088,42640,1330072,1329612,6134,14.458,5708,13.454,264472,136740,127732,10.284,19.891,263230,120422,142808,9.057,19.798,1242,0.093,39.595,3998,4086,69597,Accommodation,All workers,0.0171457304658192,,77.732,10.7797670405522,10.284203211162355,10.949632801833284,4.353267013002457,,
1987,722,272267,356635,6075932,5923770,66259,18.908,53844,15.365,1555777,868243,687534,14.657,26.263,1254258,566305,687953,9.56,21.173,301519,5.09,42.347,40007,40813,375022,Food services and drinking places,All workers,0.0500368880499187,,93.858,14.69403196127331,14.656933000437222,13.351219203901556,4.541783001807688,,
1988,211,7151,8713,123731,127361,1031,11.678,1262,14.295,21465,6593,14872,5.177,16.854,28933,9812,19121,7.704,22.717,-7468,-5.864,33.707,808,819,3209,Oil and gas extraction,All workers,0.0187845607616528,4.8,63.664,11.299119004335058,5.176623927261877,5.16362108121651,4.153619253684573,,
1988,212,6193,8497,291876,290537,1096,12.874,1129,13.261,52361,19388,32973,6.673,18.022,49998,17604,32394,6.059,17.209,2363,0.813,34.418,755,761,9152,"Mining, except oil and gas",All workers,0.0119847084541452,9.4,95.11,12.191183594380751,6.673160389210324,6.472269045759157,4.555034116494294,,
1988,213,8119,9289,161265,161219,1299,13.648,1757,18.46,46143,10109,36034,6.27,28.621,45985,22858,23127,14.178,28.523,158,0.098,57.047,1084,1098,6479,Support activities for mining,All workers,0.004128704885535,12.6,66.252,13.351397955413228,6.270352749986044,10.338883204663132,4.193465653089908,,
1988,321,14840,16499,540086,532590,1931,11.809,1636,10.005,84794,30959,53835,5.813,15.921,69602,27267,42335,5.12,13.069,15192,2.852,26.137,1221,1232,13045,Wood products,All workers,0.0151516003456149,0.1,104.747,8.227762803234501,5.812914249234871,5.917761245431284,4.651547918773987,,
1988,322,3747,5740,588065,584081,350,6.119,309,5.403,47219,13065,34154,2.237,8.084,39516,11048,28468,1.892,6.765,7703,1.319,13.531,212,215,5172,Paper products,All workers,0.0294351012074664,1.2,98.01,5.657859621030157,2.2368472865920994,1.5562905461130998,4.585069514281089,,
1988,323,40961,42793,831293,818641,4905,11.6,3888,9.195,115837,34724,81113,4.242,14.15,90550,34442,56108,4.207,11.061,25287,3.089,22.122,3141,3146,22249,Printing and related support activities,All workers,0.02149131931754,1.5,79.053,7.668269817631406,4.241663928388634,4.703636383320923,4.370118513599509,,
