year,NAICS,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,Industry,Basis,weight,tfp_pct_change,tfp_index_2017,firms_percent_destroyed
1987,331,4272,5226,593204,613502,427,8.112,502,9.537,51445,23224,28221,3.785,8.385,92486,32264,60222,5.259,15.075,-41041,-6.69,16.771,283,287,7596,Primary metal products,All workers,0.03230761198992027,,78.42,6.624531835205992
1987,332,50137,53860,1594875,1618208,4970,9.236,4868,9.047,188573,51195,137378,3.164,11.653,235058,71903,163155,4.443,14.526,-46485,-2.873,23.306,3519,3549,35233,Fabricated metal products,All workers,0.04765015565795203,,103.194,7.0187685741069465
1987,333,25238,27760,1290619,1328819,2094,7.482,2551,9.114,128073,37841,90232,2.848,9.638,204486,61715,142771,4.644,15.389,-76413,-5.75,19.276,1727,1736,20225,Machinery,All workers,0.0480279662251075,,103.231,6.8428560107774
1987,334,12170,14216,1772485,1807782,1678,11.775,1746,12.253,167979,49523,118456,2.739,9.292,240950,88929,152021,4.919,13.328,-72971,-4.036,18.584,1135,1151,21348,Computer and electronic products,All workers,0.06885116736595731,,16.261,9.32621199671323
1987,335,5719,6884,629422,642087,583,8.443,625,9.051,58369,16042,42327,2.498,9.091,84571,31322,53249,4.878,13.171,-26202,-4.081,18.181,329,333,5676,"Electrical equipment, appliances, and components",All workers,0.023888618697088526,,94.643,5.752753977968176
1987,337,17106,18228,585114,578070,2441,13.525,2080,11.525,85676,23570,62106,4.077,14.821,71789,26834,44955,4.642,12.419,13887,2.402,24.837,1601,1608,17732,Furniture and related products,All workers,0.013756082750130731,,101.505,9.359289138314042
1987,339,25380,26456,623683,619799,3369,12.823,3005,11.437,95069,26017,69052,4.198,15.339,86784,32757,54027,5.285,14.002,8285,1.337,28.004,2252,2258,15070,Miscellaneous manufacturing,All workers,0.019069129716792543,,78.5,8.873128447596534
1987,481,1181,3477,372244,369898,468,13.078,671,18.751,54308,9148,45160,2.473,14.682,48480,31124,17356,8.414,13.106,5828,1.576,26.213,231,241,2839,Air transportation,All workers,0.016225933466871637,,44.653,19.55969517358171
1987,483,603,946,44671,44645,114,11.692,172,17.641,10634,3249,7385,7.277,23.819,10648,3880,6768,8.691,23.851,-14,-0.031,47.639,82,82,1120,Water transportation,All workers,0.005360788483784186,,79.277,13.598673300165837
1987,484,64486,74932,1041379,1024706,13782,18.613,12006,16.215,226262,82883,143379,8.088,22.081,193064,86039,107025,8.396,18.841,33198,3.24,37.682,8716,8762,49367,Truck transportation,All workers,0.026014318333565992,,83.874,13.516112024315355
1987,485,10700,11540,254014,249180,1747,15.19,1669,14.512,46640,15717,30923,6.307,18.717,36713,16323,20390,6.551,14.734,9927,3.984,29.467,1347,1350,12911,Transit and ground passenger transportation,All workers,0.005296904151519715,,100.927,12.588785046728972
1987,486,344,1948,74755,75927,109,5.556,137,6.983,7569,1634,5935,2.152,9.969,9829,2279,7550,3.002,12.945,-2260,-2.977,19.938,37,37,315,Pipeline transportation,All workers,0.006469834230461475,,68.284,10.755813953488373
1987,493,5687,9296,396848,395848,1057,11.428,963,10.412,71091,26086,45005,6.59,17.959,68435,29224,39211,7.383,17.288,2656,0.671,34.576,361,368,4362,Warehousing and storage,All workers,0.0039907099816176616,,59.818,6.347810796553544
1987,511,16389,19023,734938,734788,2421,12.396,3437,17.598,89950,29225,60725,3.977,12.242,89244,44734,44510,6.088,12.146,706,0.096,24.291,2469,2487,19660,"Publishing industries, except internet (includes software)",All workers,0.02538200082980852,,74.41,15.06498261028739
1987,512,11341,15971,231272,239393,2803,17.475,2942,18.341,52022,20645,31377,8.624,21.731,67537,20563,46974,8.59,28.212,-15515,-6.481,43.462,1757,1821,10589,Motion picture and sound recording industries,All workers,0.010655975314544102,,105.783,15.492460982276695
1987,523,21929,29660,564365,531242,5974,20.755,4222,14.668,143013,52123,90890,9.812,26.92,76581,31273,45308,5.887,14.415,66432,12.505,28.831,3196,3205,19625,"Securities, commodity contracts, and other financial investments and related activities",All workers,0.02161076444129299,,55.055,14.574307993980574
1987,524,107630,139512,2277478,2231102,18812,13.733,13761,10.046,408200,136192,272008,6.104,18.296,311985,88720,223265,3.977,13.983,96215,4.312,27.967,9118,9148,39131,Insurance carriers and related activities,All workers,0.049975064502566016,,77.583,8.471615720524017
1987,525,868,1084,12684,12200,165,15.759,91,8.691,3006,951,2055,7.795,24.64,1981,1039,942,8.517,16.238,1025,8.402,32.477,69,69,676,"Funds, trusts, and other financial vehicles",All workers,0.011434952011188295,,135.43,7.949308755760369
1987,531,156008,163557,1060463,1040057,26961,16.564,25380,15.593,272535,122136,150399,11.743,26.204,231591,111261,120330,10.698,22.267,40944,3.937,44.534,20506,20591,82156,Real estate,All workers,0.10831313764119439,,91.833,13.144197733449566
1987,561,168439,188646,3393136,3305875,38799,21.176,27946,15.253,950773,371432,579341,11.236,28.76,776043,267061,508982,8.078,23.475,174730,5.285,46.949,20881,21157,149812,Administrative and support services,All workers,0.036220012144891164,,90.737,12.39677271890714
1987,562,11626,12730,163674,157430,1996,15.92,1611,12.849,38469,13453,25016,8.545,24.436,25934,11038,14896,7.011,16.473,12535,7.962,32.947,1240,1240,7971,Waste management and remediation services,All workers,0.006052868749982619,,98.212,10.665749182865989
1987,621,349621,370904,2586664,2512970,35015,9.524,28470,7.744,562207,195489,366718,7.779,22.372,415397,150350,265047,5.983,16.53,146810,5.842,33.06,21497,21686,101963,Ambulatory health care services,All workers,0.05277258002027631,,111.731,6.148658118362455
1987,624,55366,70973,963492,942512,8603,12.307,6467,9.251,182922,55333,127589,5.871,19.408,141983,40354,101629,4.282,15.064,40939,4.344,30.129,4455,4510,24635,Social assistance,All workers,0.005823778160625619,,102.663,8.046454502763428
1987,713,36737,40681,647584,632328,6499,16.362,4577,11.523,138859,58827,80032,9.303,21.96,108163,38193,69970,6.04,17.106,30696,4.854,34.211,3415,3440,27279,"Amusements, gambling, and recreation industries",All workers,0.007748551268206768,,112.067,9.295805318888315
1987,721,37088,42640,1330072,1329612,6134,14.458,5708,13.454,264472,136740,127732,10.284,19.891,263230,120422,142808,9.057,19.798,1242,0.093,39.595,3998,4086,69597,Accommodation,All workers,0.017145730465819232,,77.732,10.7797670405522
1987,722,272267,356635,6075932,5923770,66259,18.908,53844,15.365,1555777,868243,687534,14.657,26.263,1254258,566305,687953,9.56,21.173,301519,5.09,42.347,40007,40813,375022,Food services and drinking places,All workers,0.05003688804991873,,93.858,14.69403196127331
1988,211,7151,8713,123731,127361,1031,11.678,1262,14.295,21465,6593,14872,5.177,16.854,28933,9812,19121,7.704,22.717,-7468,-5.864,33.707,808,819,3209,Oil and gas extraction,All workers,0.018784560761652844,4.8,63.664,11.299119004335058
1988,212,6193,8497,291876,290537,1096,12.874,1129,13.261,52361,19388,32973,6.673,18.022,49998,17604,32394,6.059,17.209,2363,0.813,34.418,755,761,9152,"Mining, except oil and gas",All workers,0.011984708454145293,9.4,95.11,12.191183594380753
1988,213,8119,9289,161265,161219,1299,13.648,1757,18.46,46143,10109,36034,6.27,28.621,45985,22858,23127,14.178,28.523,158,0.098,57.047,1084,1098,6479,Support activities for mining,All workers,0.004128704885535066,12.6,66.252,13.351397955413228
1988,321,14840,16499,540086,532590,1931,11.809,1636,10.005,84794,30959,53835,5.813,15.921,69602,27267,42335,5.12,13.069,15192,2.852,26.137,1221,1232,13045,Wood products,All workers,0.015151600345614951,0.1,104.747,8.227762803234501
1988,322,3747,5740,588065,584081,350,6.119,309,5.403,47219,13065,34154,2.237,8.084,39516,11048,28468,1.892,6.765,7703,1.319,13.531,212,215,5172,Paper products,All workers,0.02943510120746642,1.2,98.01,5.657859621030157
1988,323,40961,42793,831293,818641,4905,11.6,3888,9.195,115837,34724,81113,4.242,14.15,90550,34442,56108,4.207,11.061,25287,3.089,22.122,3141,3146,22249,Printing and related support activities,All workers,0.021491319317540062,1.5,79.053,7.668269817631406
1988,324,1271,2131,113727,113439,193,9.106,170,8.021,11168,5455,5713,4.809,9.845,10462,3732,6730,3.29,9.223,706,0.622,18.445,93,96,2262,Petroleum and coal products,All workers,0.03885049758750065,1.2,83.944,7.317073170731707
1988,325,8527,12266,903832,890976,1126,9.269,891,7.334,107309,35794,71515,4.017,12.044,83419,28623,54796,3.213,9.363,23890,2.681,18.725,526,535,7950,Chemical products,All workers,0.07435760950579635,-2.3,118.471,6.168640788084907
1988,326,11846,14253,846501,828523,1334,9.45,1062,7.523,120159,31656,88503,3.821,14.503,84585,27752,56833,3.35,10.209,35574,4.294,20.418,749,759,12333,Plastics and rubber products,All workers,0.02882658814723927,-0.7,82.246,6.322809387134898
1988,327,11724,15201,513184,509224,1423,9.419,1237,8.188,73000,21868,51132,4.294,14.336,64724,22574,42150,4.433,12.71,8276,1.625,25.421,858,866,10798,Nonmetallic mineral products,All workers,0.01795613333058384,1.7,93.746,7.318321392016376
1988,331,4363,5320,645880,628777,443,8.366,393,7.422,84456,26621,57835,4.234,13.432,49697,19963,29734,3.175,7.904,34759,5.528,15.808,248,252,5592,Primary metal products,All workers,0.03676724625348889,-3.0,76.07,5.68416227366491
1988,332,51034,54817,1656428,1633377,5054,9.278,4361,8.006,239491,60811,178680,3.723,14.662,192397,61546,130851,3.768,11.779,47094,2.883,23.558,3286,3294,33768,Fabricated metal products,All workers,0.047625830692172744,1.1,104.316,6.4388446917741105
