year,vcnaics3,pct_high_growth_emp
1978,113,17.91480124813458
1978,114,34.516994633273704
1978,115,20.45756850226124
1978,211,7.053672504494905
1978,212,5.5479681777324625
1978,213,12.48273880686926
1978,221,0.4854855462889284
1978,236,25.748476514598757
1978,237,14.338047973767281
1978,238,20.385672943318912
1978,311,3.2296541231566898
1978,312,1.18477286827049
1978,313,1.5824950360451249
1978,314,6.986672948035171
1978,315,6.291513779626155
1978,316,2.5879021160327875
1978,321,5.5220269217933025
1978,322,1.5598459331839938
1978,323,4.577391731580965
1978,324,1.47502356267672
1978,325,1.3104553997090709
1978,326,4.211626105596887
1978,327,3.623841651007778
1978,331,0.9549302976074108
1978,332,4.18132620165218
1978,333,2.6001402276704533
1978,334,2.9197085366074074
1978,335,1.5851010057457922
1978,336,1.0636605724794306
1978,337,5.648874093526787
1978,339,5.205662141495553
1978,423,6.768259310981792
1978,424,6.686344163966684
1978,425,7.716296890314532
1978,441,6.765525014760169
1978,442,11.754155570957819
1978,443,11.761184954348094
1978,444,7.400911229952095
1978,445,7.689408814127334
1978,446,6.301291182718806
1978,447,13.82640117679664
1978,448,8.28660933224009
1978,451,13.970023127875345
1978,452,0.8147336286994294
1978,453,16.6019331950573
1978,454,6.842824751437027
1978,481,0.8802493379213433
1978,483,6.2786654830596245
1978,484,8.243340567186362
1978,485,7.7995051348466164
1978,486,3.243475937416501
1978,487,19.360213262245917
1978,488,15.933740879510944
1978,492,7.440428806453325
1978,493,1.8774187500836939
1978,511,3.9923920521225362
1978,512,14.296534949219083
1978,515,5.215046845940603
1978,517,0.5343371300096613
1978,518,6.352850437161433
1978,519,7.000826869315273
1978,521,0.0
1978,522,1.8946061321386531
1978,523,7.022917881329327
1978,524,4.778828815422305
1978,525,9.881831610044314
1978,531,17.923789355038526
1978,532,14.489460452523689
1978,533,13.771309771309772
1978,541,11.19143162357512
1978,551,2.2066631394532545
1978,561,16.39282426562713
1978,562,9.123611874305139
1978,611,9.233394450479903
1978,621,11.508503003634203
1978,622,1.084887711699383
1978,623,7.350171856536214
1978,624,14.44274320711168
1978,711,22.484717423345497
1978,712,9.613684282119294
1978,713,11.668702534490965
1978,721,11.333666746658977
1978,722,16.126245623931123
1978,811,15.48199873539701
1978,812,11.25741836055481
1978,813,11.50629445812654
1979,113,15.481707546814363
1979,114,31.042571676802783
1979,115,19.457637056581646
1979,211,4.606075670133522
1979,212,2.88633989633221
1979,213,12.378569266471597
1979,221,0.8860144851229129
1979,236,23.7863499335699
1979,237,13.149487468526457
1979,238,18.245874407711998
1979,311,2.673075988484947
1979,312,1.8374317227554318
1979,313,1.7677926534847062
1979,314,5.614269509898573
1979,315,5.184414818696976
1979,316,2.4424270525742084
1979,321,5.61816841254039
1979,322,1.543757783436055
1979,323,4.170011060199084
1979,324,1.8334803293569302
1979,325,1.5867640852768754
1979,326,3.5431714810212025
1979,327,2.9918228803783884
1979,331,1.5209239456271733
1979,332,3.6615287623652586
1979,333,2.1195801159897045
1979,334,2.3647049114104397
1979,335,1.8713937087667776
1979,336,1.1007076041620816
1979,337,4.066822365123546
1979,339,4.321757042207324
