year,naics3,sd_weighted,d7525_weighted,d9010_weighted,d9990_weighted,d1001_weighted
1987.0,311,0.3543888888888889,0.4547555555555556,0.8292111111111111,0.614,0.18649333333333332
1987.0,312,0.64585,1.2473,1.45965,0.33030000000000004,0.24925000000000003
1987.0,313,0.2392,0.2982666666666667,0.5885333333333334,0.42506666666666665,0.12804666666666667
1987.0,314,0.30675,0.34240000000000004,0.7537499999999999,0.49945,0.1622
1987.0,315,0.31233333333333335,0.42946666666666666,0.7445333333333334,0.49016666666666664,0.2535
1987.0,316,0.27466666666666667,0.3237333333333334,0.6204333333333333,0.4715666666666667,0.2312
1987.0,321,0.22663333333333333,0.28323333333333334,0.5493333333333333,0.3543,0.2221
1987.0,322,0.227,0.3208,0.55035,0.328,0.2019
1987.0,323,0.2961,0.3172,0.7202,0.5469,0.2495
1987.0,324,0.2315,0.1565,0.2815,0.9149,0.01078
1987.0,325,0.4181142857142857,0.6415428571428572,1.0595285714285714,0.4667428571428571,0.3107285714285714
1987.0,326,0.2744,0.35205,0.6650499999999999,0.4634,0.26515
1987.0,327,0.28886,0.38632,0.71536,0.3637,0.28574
1987.0,331,0.28196,0.40058,0.69106,0.35557999999999995,0.20616000000000004
1987.0,332,0.3153111111111111,0.41544444444444445,0.8008666666666666,0.3940666666666667,0.2638666666666667
1987.0,333,0.3369142857142857,0.43784285714285714,0.8834857142857143,0.3932571428571428,0.2691857142857143
1987.0,334,0.46131666666666665,0.66805,1.1752166666666666,0.5661666666666667,0.21654166666666666
1987.0,335,0.333375,0.438,0.8023750000000001,0.488,0.372025
1987.0,336,0.28202857142857146,0.4488857142857143,0.6933571428571429,0.2975157142857143,0.25800285714285714
1987.0,337,0.24380000000000002,0.3307,0.5768,0.3407,0.2342666666666667
1987.0,339,0.4043,0.60475,1.061,0.55495,0.26944999999999997
1988.0,311,0.35935555555555554,0.48256666666666664,0.8445666666666667,0.6289333333333333,0.20021666666666665
1988.0,312,0.6334500000000001,1.25075,1.43655,0.36199000000000003,0.2311
1988.0,313,0.2507333333333333,0.24529333333333336,0.5890333333333334,0.5841666666666666,0.10727666666666667
1988.0,314,0.32955,0.38275000000000003,0.7643500000000001,0.5089,0.25
1988.0,315,0.3269666666666667,0.4157666666666667,0.8456,0.4782333333333333,0.22939999999999997
1988.0,316,0.2552666666666667,0.37329999999999997,0.6804666666666667,0.1946,0.17966666666666667
1988.0,321,0.23843333333333336,0.30433333333333334,0.5717333333333333,0.39466666666666667,0.24836666666666662
1988.0,322,0.23065000000000002,0.32365,0.5671999999999999,0.2834,0.1954
1988.0,323,0.3091,0.3411,0.7734,0.5348,0.2756
1988.0,324,0.2323,0.1567,0.342,0.847,0.06803
1988.0,325,0.4154,0.6396,1.059057142857143,0.3934285714285714,0.2542285714285714
1988.0,326,0.26995,0.3155,0.6376,0.46499999999999997,0.27344999999999997
1988.0,327,0.2847,0.39204,0.7192000000000001,0.34104,0.25822
1988.0,331,0.3064,0.4387,0.7889999999999999,0.3848,0.18167400000000003
1988.0,332,0.3245,0.41755555555555557,0.8320000000000001,0.3554666666666667,0.32834444444444444
1988.0,333,0.35804285714285716,0.4464428571428571,0.9256000000000001,0.3809,0.3394
1988.0,334,0.4693,0.69785,1.1807999999999998,0.56465,0.2512666666666667
1988.0,335,0.337975,0.47819999999999996,0.8388,0.48045,0.25279999999999997
1988.0,336,0.2739857142857143,0.4073142857142857,0.6606142857142857,0.3321142857142857,0.20687142857142857
1988.0,337,0.24723333333333333,0.3245,0.5958333333333333,0.3597666666666666,0.2826666666666667
1988.0,339,0.4038,0.5846,1.0060499999999999,0.5571,0.24169999999999997
1989.0,311,0.3539222222222222,0.46466666666666673,0.8423777777777778,0.5950222222222222,0.1562311111111111
1989.0,312,0.60515,1.1457,1.4274,0.24811,0.20029999999999998
1989.0,313,0.2624666666666667,0.3127,0.5794,0.5781333333333333,0.18286666666666665
1989.0,314,0.33425,0.3954,0.8120499999999999,0.6839,0.23945
1989.0,315,0.3437666666666667,0.4285333333333334,0.7738666666666667,0.8028666666666666,0.28343333333333337
1989.0,316,0.2457666666666667,0.3448333333333333,0.5874333333333334,0.2692333333333333,0.25416666666666665
1989.0,321,0.22903333333333334,0.2901333333333333,0.5717,0.3796,0.18206666666666668
1989.0,322,0.24035,0.32615,0.60585,0.3011,0.20005
1989.0,323,0.3138,0.3145,0.7721,0.5638,0.2728
1989.0,324,0.2349,0.1535,0.3002,0.8038,0.1165
1989.0,325,0.42662857142857147,0.6365571428571428,1.0772857142857144,0.5038285714285714,0.2698857142857143
1989.0,326,0.2791,0.3335,0.634,0.54095,0.26315
1989.0,327,0.28498,0.38264,0.73712,0.36395999999999995,0.21986
1989.0,331,0.30629999999999996,0.39733999999999997,0.7660199999999999,0.45816,0.25478
1989.0,332,0.3288111111111111,0.4267,0.8270444444444444,0.43512222222222224,0.21834888888888887
1989.0,333,0.34364285714285714,0.4362142857142857,0.8585285714285714,0.3992714285714286,0.37931428571428566
1989.0,334,0.4660666666666667,0.6857333333333333,1.1784000000000001,0.42838333333333334,0.41183333333333333
1989.0,335,0.34285,0.484325,0.8465750000000001,0.500125,0.2476
1989.0,336,0.3055,0.4087571428571429,0.7584285714285715,0.4152,0.15637571428571428
1989.0,337,0.24386666666666668,0.3328333333333333,0.5911333333333334,0.34136666666666665,0.19540000000000002
1989.0,339,0.41764999999999997,0.5629,1.0605,0.5458999999999999,0.31945
1990.0,311,0.3492888888888889,0.43974444444444444,0.8266111111111111,0.5738888888888889,0.1607288888888889
